"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","root_weight_commercial","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","DM_nirs","frogskin1_5","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","ave_WAB"
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM11901-10_588",1,588,21,8,"test"," (Operator: lizbethpino, Time: )","GM11901-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",6,1,23.6,60,5.6640625,2.9,4,1,7,8,4,3,260,50,3,3,1,3,3,22,2800,123,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,5.6640625,1.33671875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM11933-1_242",1,242,9,10,"test"," (Operator: lizbethpino, Time: )","GM11933-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,27.4,60,0.9765625,0.5,3,2,0,4,4,4,150,40,2,3,1,4,2,10,490,32,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,0.9765625,0.267578125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM11935-3_27",1,27,1,27,"test"," (Operator: lizbethpino, Time: )","GM11935-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,17.0811559633027,190,6.0546875,3.1,3,2,10,4,4,4,190,40,4,3,1,3,2,15,2740,15,4,4,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,100,6.0546875,1.03421061496559,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-10_257",1,257,9,25,"test"," (Operator: lizbethpino, Time: )","GM14128B-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,28.6,60,3.515625,1.8,4,2,5,6,4,3,160,40,4,3,1,3,2,20,1700,123,2,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,3.515625,1.00546875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-1_449",1,449,16,16,"test"," (Operator: lizbethpino, Time: )","GM14128B-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,26,90,7.8125,4,4,2,10,8,4,3,160,40,4,3,1,3,2,25,3540,204,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,7.8125,2.03125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-3_24",1,24,1,24,"test"," (Operator: lizbethpino, Time: )","GM14128B-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,26.156581112208,70,7.421875,3.8,4,1,10,6,4,3,180,40,4,3,1,4,1,20,3230,191,0,4,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,100,7.421875,1.94130875442169,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-4_134",1,134,5,18,"test"," (Operator: lizbethpino, Time: )","GM14128B-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,26.1,180,1.5625,0.8,3,1,0,6,4,3,180,40,2,3,1,4,2,7,430,25,0,3,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,4,75,1.5625,0.4078125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-5_447",1,447,16,18,"test"," (Operator: lizbethpino, Time: )","GM14128B-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,19.2,70,6.25,3.2,4,2,6,6,4,4,170,40,3,3,1,3,3,16,2910,52,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,6.25,1.2,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-7_122",1,122,5,6,"test"," (Operator: lizbethpino, Time: )","GM14128B-7","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,24.9,60,10.15625,5.2,4,3,19,4,4,4,140,40,4,3,1,2,3,29,4270,220,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,10.15625,2.52890625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_GM14128B-8_229",1,229,8,4,"test"," (Operator: lizbethpino, Time: )","GM14128B-8","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,25.6,90,16.40625,8.4,5,2,10,8,4,3,230,50,4,3,1,2,3,25,4520,252,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,16.40625,4.2,NA
