"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14709A-2",0.47,2.15,32.71,4.12,96.17,245.88,221.37,58.62,1.45,2.94,1.03,2.07,16.5,9.31,1.17,2.26,3.06,2.46,5.02,1.12,4.03,12.22,2.6,6.5,0.5,1.1,38.1,2.7,5.8,12,0.5,0.9,38.1,8.8
"GM14709A-3",0.31,2.01,31.45,5.24,95.26,222.87,206.11,43.8,1.31,2.1,1.04,2.42,21.75,10.91,1.16,2.15,3,2.69,6.75,1.16,4.43,16.16,1.2,-3.8,0.6,0.5,38.4,0.2,3.1,5.7,0.4,0.5,38.7,4.4
"GM14709A-4",2.81,1.17,28.89,3.69,94.91,228.11,100.24,51.85,1.99,2.28,1.18,2.3,22.75,9.26,1.16,2.36,3.07,2.37,5.38,1.13,4.44,13.02,3.1,11.6,0,0,41.6,6.9,4.8,12.5,0.1,0.2,42,8.8
"GM14709A-5",1.54,2.09,34.08,4.15,97.4,235.46,177.07,58.24,1.3,2.37,1.05,2.4,21.09,8.39,1.14,2.19,2.43,2.62,4.36,1.03,4.12,10.71,9.3,19.9,-0.2,0,41.3,15.3,5.8,15.1,0.6,0.4,40.4,10.3
"GM14709A-6",1.12,2.07,30.3,4.41,97.48,239,164.09,58.23,1.26,1.87,1.05,2.12,22.42,10.47,1.11,2.86,3.03,2.75,5.64,1.09,4.38,13.87,5.1,2.3,0.4,1.2,40.5,8.6,6.4,14.5,0.3,0.8,39.7,10.3
"GM14709A-7",0.35,2.12,30.2,4.58,97.24,264.04,249.64,54.62,1.34,1.71,1.04,2.11,22.93,9.85,1.55,2.69,3.05,2.34,6.2,1.13,4.42,15.11,1.7,5.4,-0.1,0.1,37.1,1.8,4.1,8.1,0.1,0.2,37.4,6.2
"GM14709A-8",0.51,2.05,29.1,4.41,96.94,276.58,253.65,57.46,1.83,2.85,1.04,2.36,23.06,9.58,1.12,2.67,3.02,2.32,6.03,1.01,4.31,14.52,2.7,6,0.3,0.1,36.7,4.3,4.6,11.3,0.1,0.2,38.3,7.9
"GM14709A-9",2.16,2.04,31.4,5.44,96.2,214.45,107.96,51.37,1.21,2.66,1.04,2.3,26.83,15.87,1.09,2.39,3.04,2.15,6.72,1.11,4.37,16.42,2.7,2.4,0.5,1.3,36.6,2.7,3.7,6.6,0.4,1,37.3,5.2
"GM14710B-1",1.63,2.11,29.98,4.41,96.8,264.96,211.03,52.1,1.87,2.37,1.05,2.42,20.12,11.26,1.15,2.29,2.17,2.74,6.08,1,4.69,14.59, , ,0.8,0.7,43.3, , , ,1.2,0.8,42.6, 
"GM14710B-2",3.83,2.12,29.88,3.12,96.75,239.6,105.05,41.2,1.86,2.97,1.19,2.06,18.13,8.05,1.14,2.3,3.08,3.26,4.01,0.98,4.28,9.95,4.6,10.3,0.1,0.1,36,7.1,4.5,10.6,0.1,0.2,36.3,7.7
"GM14712B-4",2.26,2.09,28.16,3.65,96.26,248.49,119.7,48.07,1.39,2.33,1.04,2.09,18.14,6.44,1.17,2.27,2.14,2.92,5.01,1.1,4.31,12.2,2,2.1,2.3,1.7,40.8,3.3,3.9,9.8,1.8,1.4,41,6.9
"GM14712B-5",0.63,2.07,29.13,3.79,96.56,256.9,221.12,54.94,1.89,2.62,1.03,2.07,23.47,7.88,1.09,2.36,1.04,2.88,4.71,1.02,4.28,11.7,8.8,22.2,1,0.6,41.5,15.6,7.4,18.6,1.1,0.7,41.3,12.9
"GM14712B-8",1.32,2.12,28.06,3.53,95.94,255.69,213.65,58.87,1.4,1.98,1.03,2.09,15.82,6.55,1.17,2.79,1.26,2.92,4.72,1.12,4.33,11.55,14.4,34.8,0.7,0.6,36.7,23.4,13.7,29.9,0.8,0.7,37.4,21.6
"GM14712B-9",2.07,2.07,29.39,3.77,97.22,213.13,127.73,53.37,1.96,2.72,1,2.07,18.07,7.54,1.15,2.37,1.43,2.68,4.6,1.95,4.32,11.66,5.8,17.9,1.4,0.8,43.3,9.4,8.3,19.3,1.4,0.8,42.7,13.7
"GM14719B-1",2.41,1.2,27.67,2.95,95.24,226.86,167.86,43.44,1.32,2.42,1.04,2.14,17.45,7.86,1.15,2.28,2.14,2.86,4.06,1.07,4.17,10.06,3.5,5.5,1,0.8,36.3,5.6,5.1,10.9,0.8,0.7,36.3,8
"GM14719B-10",0.74,2.3,27.81,1.85,97.43,267.02,226.63,50.74,1.65,2.44,1.03,1.88,18.1,2.93,1.14,2.15,1.57,3.64,2.57,1,4.28,6.36,3.9,8,0.1,0.7,34.4,7.1,3.3,11.1,0.4,0.6,35.2,7.3
"GM14719B-3",1.41,2.11,26.75,3.61,96.52,211.38,104.15,52.87,1.38,2.34,1.04,2.05,16.65,7.77,1.15,2.29,3.06,2.38,5.23,1.09,4.3,12.68, , ,0.7,0,37.7, , , ,0.8,0.3,37.7, 
"GM14719B-6",0.41,2.11,26.42,3.9,97.36,245.9,210.72,55.45,1.81,2.86,1.05,2.08,20.04,9.88,1.13,2.27,3.06,2.12,5.48,1.14,4.33,13.25, , ,0.9,1.6,36.3, , , ,1.2,1.4,36.2, 
"GM14720B-1",0.5,2.08,25.4,1.26,97.61,232.72,215.12,44.98,2.39,2.93,1.05,1.88,13.96,4,1.13,2.38,2.42,3.54,1.92,1.05,4.27,4.78, , ,0.1,0.1,35.9, , , ,0.2,0.2,36.2, 
"GM14720B-10",0.38,2.08,27.73,3.4,95.94,204.1,160.69,50.04,1.74,2.91,1.05,2.4,21.61,9.55,1.15,2.3,3.07,2.52,4.71,1.03,4.33,11.52, , ,1,0.7,36.4, , , ,0.6,0.6,36.9, 
"GM14720B-12",2.8,2.02,26.58,2.07,97.66,248.78,125.51,61.98,2.23,3.49,1.05,2.11,19.39,5.11,1.14,2.42,2.98,3.3,3.11,1.02,4.37,7.58,7,18.1,2,2.1,38,12.1,5.1,15.8,1.7,1.3,38.5,10.5
"GM14720B-2",2.41,2.1,27.23,3,97.85,264.02,177.16,45.56,2.55,2.83,1.04,2.12,18.13,9.4,1.11,2.67,2.37,3.08,4.4,1.04,4.37,10.93,1.5,5.6,0.4,0.9,37.7,1,5.1,10.6,0.6,0.9,37.8,7.9
"GM14720B-4",2.92,2.15,28.7,3.55,96.72,227,110.44,52.83,1.92,2.8,1.04,2.42,18.64,7.92,1.17,2.8,3.06,2.84,4.92,1.07,4.36,12,3.5,8.2,0.5,0.9,35.1,4.7,5.2,10.4,0.5,0.9,36.8,7.9
"GM14720B-5",0.95,2.33,28.78,3.51,96.92,230.92,195.3,49.84,2.16,2.87,1.04,2.33,15.03,6.48,1.13,2.38,2.43,2.91,4.47,1.08,4.25,11.29, , ,0.5,-0.3,41.3, , , ,0.7,0.2,41.3, 
"GM14720B-6",0.16,1.99,28.33,3.22,96.41,224.1,206.12,45.85,1.43,2.28,1.03,2.39,20.26,8.23,1.15,2.04,3.02,2.63,4.32,0.97,4.37,10.54,9,19.2,0.9,0.7,34.1,17,8.1,23.1,0.9,0.6,35.7,15.3
"GM14720B-7",1,2.08,27.53,3.03,99.04,248.17,208.22,52.48,2,3.04,1.05,1.88,21.48,10.9,1.14,1.98,2.01,3.24,4.55,0.99,4.39,10.9, , ,1.4,1.8,41, , , ,1.3,1.4,41, 
"GM14720B-8",0.51,2.15,28.47,3.14,96.81,203.83,167.64,38.7,2.3,3.37,1.05,1.76,19.34,7.09,1.14,2.26,2.15,3.05,4.17,1.1,4.28,10.32,8.9,24.5,1.9,1.8,41.9,16.7,10,26,1.4,1.5,41.6,17.9
"GM14720B-9",1.37,2.08,28.12,2.76,97.69,229.84,173.83,42.65,1.78,2.99,1.02,2.09,17.56,8.25,1.11,2.36,2.02,2.84,4,1.05,4.32,9.55,0.6,6.8,0.4,-0.2,40.5,3.2,1.7,8.3,0.6,0.1,41.4,5
"GM14721B-11",0.78,2.26,26.93,3.38,96.31,224.33,182.45,50.18,1.18,2.47,1.03,2.06,17.35,7.33,1.23,2.7,3.01,2.73,4.92,1,4.36,12.09,4.4,13.7,0.3,0.9,38.2,10.7,3.7,13.5,0.8,0.6,38.2,8.5
"GM14721B-2",4.16,2.09,27.71,2.47,98.08,211.35,74.01,37.47,2.04,3.52,0.99,1.89,16.39,8.85,1.22,2.37,2.96,3.17,3.66,1.01,4.37,8.92,10.5,40.7,2,1.5,36.8,24.4,10.7,34.1,1.9,1.4,38.3,22.4
"GM14721B-4",2.75,2.06,29.47,2.91,95.13,257.34,94.18,58.13,2.33,3.68,1.07,2.16,15.8,8.29,1.09,2.86,2.97,2.37,4.1,1.07,4.42,9.77,2.2,5.2,0.6,0.4,38.8,5,4,10.2,0.6,0.7,38.9,7.1
"GM14721B-5",1.72,2.61,27.2,2.56,95.03,200.43,115.41,48.8,2.15,3.57,1.03,2.04,10.53,3.86,1.14,2.3,3.05,3.5,1.8,1.09,4.2,8.73,1,4.4,1,1,36.6,2.2,3,7.3,1,1,37.1,5.2
"GM14721B-7",1.39,2.12,31.77,3.36,95.97,239.5,177.7,47.56,1.82,2.22,1.04,2.06,20.14,8.22,1.15,2.29,1.27,2.82,4.28,1.1,4.33,10.56,7.3,8.6,1.3,0.2,42.7,8.4,6.6,14.3,1.5,0.7,42.1,10.6
"GM14721B-8",0.6,2.04,30.87,2.28,86.42,203.96,165.44,40.93,1.77,2.95,1.05,1.94,13.42,5.18,1.13,2.37,2.89,3.21,2.91,1.08,4.15,6.97, , ,1.4,0.7,38.2, , , ,1.1,0.8,38.5, 
"GM14724A-5",1.56,2.09,25.96,3.61,96.93,255.41,203.25,41.88,2.52,3.03,1.03,2.4,23.06,10.32,1.15,2.91,3,2.06,5.77,0.98,4.5,13.95,6.2,15.6,1.2,0.9,41.5,10.5,6.2,13.6,1.2,1,41.6,10
"GM14725A-2",2.83,2.1,26.57,4.24,85.88,269.06,139.43,52.57,1.22,2.67,1.05,2.08,19.2,10.46,1.12,2.17,2.99,2.63,5.56,1.67,4.34,14.03,6.4,22.1,1.2,0.8,40.7,12.8,7.7,21.2,1.2,0.9,41,14.5
"GM14725A-3",1.65,2.08,25.15,3.44,95.5,234.06,149.7,45.34,1.84,3.26,1.02,2.33,18.87,8.99,1.15,2.91,2.44,2.24,5.75,1.07,4.57,13.69,7.3,13.9,2.1,1.1,42.4,10.7,7.1,15.7,1.7,1.1,42.5,11.4
"GM14725A-6",0.46,2.04,30.09,4.44,90.66,233.63,211.45,43.37,1.25,3.05,1.05,2.39,20.38,10.26,1.13,2.69,2.47,2.58,5.35,1.07,4.35,13.52,7.9,20.4,2.5,1.9,42.3,17.1,9.5,26.5,1.9,1.4,41.4,18.2
"GM14727B-1",0.37,2.37,28.88,5.28,96.37,220.68,195.04,45.94,1.08,2.22,1.04,2.36,24.67,13.45,1.11,2.68,3.06,2.15,7.41,1.05,4.35,17.27,7.9,11.4,0.3,-0.1,42.6,10.4,6.2,13.5,0.9,0.6,41.7,9.8
"GM14727B-10",1.03,2.05,28.76,3.9,98.55,199.52,126.32,46.61,1.77,3.39,1.03,2.61,24.09,10.82,1.23,2.84,2.42,2.66,5.73,1.04,4.21,13.47,9.1,29.1,1.1,1,41.8,18.6,8,24.3,1.1,0.9,41.9,16.1
"GM14727B-2",0.47,2.03,31.41,5.53,97.19,189.8,148.1,37.86,1.23,3.16,1.04,2.08,24.37,12.53,1.11,2.4,2.43,2.28,7.19,1.02,4.31,17.17,3.7,8.3,1.5,1.1,41.1,7.7,6.2,16.9,1.1,0.8,40.6,11.5
"GM14727B-3",0.99,2.1,29.6,6.5,97.28,235.1,192.51,50.27,1.3,1.98,1,1.87,22.59,12.55,1.14,2.36,3.01,2.35,7.96,0.99,4.18,19.47,3.9,13.8,0.4,0.5,39.4,6.9,6.2,14.7,0.6,0.5,39.4,10.5
"GM14727B-4",0.24,2.33,27.65,5.37,96.53,234.96,222.1,53.98,1.57,2.65,1.03,2.37,24,14.26,1.22,2.37,2.48,1.97,7.9,1.05,4.49,18.57,3.8,12.4,1.1,0.3,41.8,6.2,7.6,18.5,0.8,0.3,41.4,13.3
"GM14727B-6",1.89,2.06,29.96,6.03,97.49,242.83,156.01,49.39,1.06,2.2,1.03,2.39,23.94,12.1,1.13,2.16,2.48,1.83,8.01,1.07,4.37,19.1,7.3,20.3,2.4,1.3,43.9,13.4,8.3,20,2.2,1.2,44,14.1
"GM14727B-7",2.03,2.15,27.4,4.27,96.29,243.38,210.34,52.64,1.25,2.25,1.04,2.65,22.46,7.68,1.15,2.85,2.42,2.64,6.05,1.08,4.21,14.42,5.9,29.5,1,0.4,41.9,18.1,6.2,26.3,1.1,0.5,42.2,16.4
"GM14727B-9",1.7,2.04,27.18,5.46,97.28,243.26,171.57,51.81,1.18,2.62,1.02,2.4,25.53,10.56,1.21,2.37,2.45,2.19,7.87,1.06,4.45,18.95,7.4,18.7,1.8,1.1,41.4,13.2,4.3,11.7,1.7,1.2,41,8
"GM14759A-3",1.62,2.46,28.32,2.99,79.64,178.13,117.99,42.97,1.43,3.76,1.04,2.59,16.55,8.29,1.21,2.68,2.46,2.21,4.48,1.44,4.2,10.77,5.4,5.8,2.1,0.9,34.6,5.8,4.3,8,1.9,0.9,34.7,6.2
"GM14762A-2",0.15,2.24,31.32,3.93,88.98,235.99,229.17,48.86,1.11,2.53,1.07,2.1,20.46,8.66,1.27,2.4,1.06,2.79,5.05,1.62,4.14,12.35,7.4,24.8,0.8,0.6,42.2,16.1,6.5,18.6,1.1,0.8,42.1,12.6
"GM14762A-3",0.44,2.06,29.14,4.78,95.57,219.01,200.1,46.51,1.16,2.2,1.04,2.12,30.89,10.09,1.13,2.15,2.45,2.52,6.5,1.11,4.32,15.52,9.2,25.8,0.7,0.4,41.1,17.3,8,19.7,0.8,0.6,41.2,14
"GM14762A-4",0.05,2.33,29.17,4.93,94.95,191.85,177.6,46.89,1.08,3.07,1.04,2.45,21.31,10.41,1.13,2.89,1.02,2.25,6.66,2.69,4.29,16.29,7,16.8,0.8,0.7,42.2,11.2,6.5,15,0.8,0.3,42.1,10.9
"GM14762A-5",0.12,2.07,30.08,3.27,97.25,189.49,185.84,40.49,1.28,3.89,1.04,2.4,17.55,9.25,1.23,2.15,3.01,2.65,4.52,2.11,4.18,10.63,0.4,1.1,1.2,1.3,37.2,0.5,3.6,6.3,1.3,1.3,37.7,4.9
"GM14762A-7",-0.18,2.03,28.33,4.12,96.63,209.75,210.31,37.26,1,3.05,1.03,2.07,19.61,10.28,1.11,2.18,1.24,2.23,5.5,0.99,4.03,13.78,7.4,17.1,1,1.1,39.6,11.8,5.3,13.7,0.9,0.8,39.8,9.6
"GM14762A-8",2,1.54,28.36,2.01,97.84,265.72,134.94,49.42,1.34,2.19,1.03,2.47,13.03,3.1,1.26,3.18,3.01,3.97,2.85,1.01,4.25,6.73,5.2,14.7,1.8,1.3,44.3,9.2,5.9,13.8,1.7,1.2,44.1,10
"GM14762A-9",0.21,2.06,29.48,2.65,90.83,167.36,142.14,37.02,1.31,4.01,1.03,2.04,17.19,7.44,1.12,2.22,2.42,2.59,3.73,1.1,4.16,9.14,11.5,18.3,0.6,0.3,40.7,15.9,10.9,20,0.5,0.3,41.1,15.3
"GM14764A-5",0.12,2.04,30.47,4.43,87.96,222.22,213.36,51.63,1.17,2.13,1.03,2.39,18.94,9.34,1.19,2.76,2.48,2.66,5.61,1.03,4.32,13.85,6.3,16.2,0.4,0.3,40.5,11.7,6.5,16.5,0.5,0.4,41,11.6
"GM14781A-10",1.13,1.96,33.68,3.38,98.74,304.39,239.09,46.6,1.2,1.58,1.03,2.44,13.74,4.25,1.15,2.27,2.97,2.49,4.03,1.19,4.36,9.6,5.2,10.6,1.3,1,43.7,7,6.8,13.2,1.4,1,43.4,10.1
"GM14781A-4",3.23,2.03,32.65,2.29,97.17,181.32,67.93,29.82,1.63,4.05,1.03,2.38,13.93,5.63,1.14,2.9,1.47,2.67,2.84,1.9,4.05,6.96,4.2,7.1,1.2,0.8,38,5.8,5.6,10.9,0.9,0.8,38.8,8.2
"GM14781A-5",2.62,2.19,33.06,3.44,94.53,205.41,88.88,52.54,2.35,3.64,1.03,2.42,20.97,8.6,1.17,2.77,3.01,2.64,4.18,0.97,4.35,10.24,8.6,18.4,1.9,0.8,44.1,12.8,7.4,14.8,1.4,1,44.1,11.1
"GM14781A-6",0.59,2.06,30.84,1.92,82.1,232.64,165.23,57.97,1.81,2.89,1.03,2.09,13.08,5.74,1.09,2.46,3.01,2.98,2.52,1.03,4.25,6.43, , ,1.5,1.2,41.2, , , ,1.4,1.3,41.2, 
"GM14781A-7",0.36,2.12,34.39,3.24,89.75,222.9,202.78,42.68,1.17,2.97,1.04,2.05,12.94,5.43,1.13,2.18,1.08,2.85,3.45,1.05,4.36,8.52,3.8,3.6,2.4,2.4,42.3,5.1,5.6,11.9,1.9,1.9,41.9,8.7
"GM14781A-8",1.57,2.09,30.04,3.15,86.84,253.69,205.81,57.21,2.14,2.09,1.05,2.4,15.77,6.81,1.15,2.67,2.44,2.85,4.46,1.33,4.3,10.8,4.3,16.9,1.6,1.3,42.5,11.2,4.3,17.6,1.5,1.1,42.7,11.1
"GM14781A-9",0.49,2,31.93,4.35,88.72,217.53,198.36,53.37,1.26,2.26,1.02,2.37,16.65,7,1.1,2.7,3.01,2.32,5.45,1.1,4.23,13.19,7.4,21.5,1.9,1.4,42.8,14.2,6.4,16.9,1.8,1.3,42.7,11.7
"GM14783A-1",1.67,2.5,28.78,2.54,89.67,227.05,145.02,38.17,1.71,2.76,1.02,2.36,17.56,4.32,1.31,2.79,1.27,3.2,3.25,1.78,4.05,8.34,9.3,20.8,1.6,1.2,42.6,14.6,9.4,18.9,1.6,1.2,42.9,14.2
"GM14783A-2",1.63,2.11,27.34,2.2,88.91,184.58,120.23,31.82,1.14,2.74,1.06,2.12,14.36,5.44,1.11,2.9,2.49,3.26,2.93,1.59,3.57,7.28,12,21.2,1.1,1.1,44.9,16.2,10.9,19.2,1.3,1.2,44.6,14.8
"GM14783A-3",1.91,2.49,27.93,3.67,89.81,238.11,171.48,51.37,1.16,2.49,1.04,2.28,26.45,11.03,1.1,2.26,3.01,2.66,5.35,1.28,4.45,12.92,5.2,12,0.6,0.8,41.6,8.7,5.6,13.9,0.9,0.9,41.3,9.8
"GM14783A-5",0.2,2.05,30.76,4.8,96.85,222.98,208.88,52.74,1.25,2.01,1.04,2.07,26.64,9.68,1.12,2.27,1.8,2.64,5.97,1.07,4.34,14.34,4.6,11.6,1.1,0.7,43.5,6.1,7.3,15.5,1.2,0.8,43.1,11.3
"GM14783A-7",0.27,2.33,30.32,3.4,85.96,212.88,197.9,37.47,1.04,2.54,1.03,2.07,18.72,6.62,1.13,2.19,2.49,2.97,3.96,1.71,4.13,10.09,3.2,11.1,1.7,1.2,41.5,7.3,5.8,15.6,1.4,1.1,41.3,10.9
"GM14783A-8",1.89,2.19,28.61,2.19,91.22,249.89,176.95,55.33,1.93,2.77,1.06,2.1,16.53,6.39,1.1,2.14,1.03,3.05,3,1.01,4.12,7.28,6.9,18.6,1.8,1,41.4,11.8,8.2,18.9,1.5,0.9,41.9,13.5
"GM14783A-9",0.47,2,28.35,4.66,95.14,213.8,196.96,46.97,1.8,2.6,1.03,2.45,25.46,11.65,1.15,2.66,3.02,2.36,6.57,1.05,4.44,15.88,4,6.8,1.5,0.9,43.2,4.5,6.1,13.9,1.4,0.7,42.3,9.9
"GM14789A-2",1.38,2.06,32,6.07,95.28,222.84,173.44,43.33,1.52,2.6,1.02,2.43,23.21,9.93,1.17,2.53,1.44,2.34,6.94,1.04,4.28,17.28,4.7,16.7,2.1,1.3,43.4,11,5.4,16.8,1.8,1,43.3,11.1
"GM14790A-5",1.89,2.55,31.68,1.54,98.36,202.65,128.41,41.48,2.38,3.95,1.14,2.09,13.1,2.97,1.26,2.67,2.72,4.24,2.04,1.7,4.41,5.03,6.5,7,0.9,1,42.7,7.4,6.3,10.5,0.9,0.9,43,8.4
"GM14798A-1",-0.01,2.29,27.06,2.79,79.44,233.27,212.93,59.39,1.25,2.41,1.03,2.44,17.11,7.04,1.26,2.42,1.42,2.53,4.06,0.99,4.17,10.24,7.1,17,1.6,1.5,40.3,12.4,7.3,18.1,1.4,1.3,40.2,12.7
"GM14798A-2",0.46,2.4,29.69,5,96.69,246.86,236.7,55.45,1.19,2.03,1.06,2.23,20.39,11.06,1.16,2.4,1.05,2.46,6.59,1.11,4.28,16.08,9.1,16.7,1.1,0.7,43.6,13.2,4.7,9.6,1.5,1,43.2,7
"GM14798A-6",3.7,2.01,28.75,3.61,87.33,196.16,64.26,39.61,1.51,2.91,1.04,2.4,18.05,7.42,1.18,2.89,1.6,2.87,4.63,1.07,3.89,11.67,4.1,10.5,0.8,1,40.1,6.3,5.7,12.5,0.8,0.9,41.5,9.2
"GM14798A-7",0.54,2.02,25.22,1.24,97.47,174.4,136.27,31.93,1.35,3.06,1.04,1.94,13.12,2.72,1.14,2.28,3.01,3.33,1.86,1.96,4.05,4.61,6.7,13.9,0.3,0.3,40.1,10.3,4.6,10.5,0.5,0.5,40.7,7.6
"GM14798A-8",1.85,2.47,29.76,4.25,98.65,237.35,141.37,48.33,1.39,1.94,1.04,2.42,22.24,11.19,1.1,2.3,3.01,2.14,5.9,1.03,4.4,14.11,4.3,11.5,1.2,0.8,41.6,6.5,5.5,12.6,1.2,0.7,41.5,9.1
"GM14803A-1",-0.03,2.1,30.52,2.4,98.51,222.19,215.63,57.58,1.43,3.17,1.02,1.78,20.14,7.54,1.12,1.99,2.99,3.08,3.27,1.54,4.27,7.93,7.5,21.4,0,0.7,40.1,15,5.8,15.9,0.8,0.9,39.8,10.7
"GM14803A-10",1.26,2.05,32.09,4.47,100.28,250.82,188.85,62.47,1.07,2.38,1.05,2.08,23.89,9.52,1.11,2.15,3.02,2.78,5.53,1.02,4.28,13.39,6.9,19.1,0.6,0.7,44.1,12.6,6.2,16.1,0.6,0.8,44,11
"GM14803A-2",1.93,2.1,24.24,2.26,95.4,239.5,178.29,37.97,1.54,3.36,1.03,2.07,20.04,7.39,1.1,2.17,3,2.94,3.08,2.69,4.29,7.6,15.2,31.8,1.1,0.9,41.6,23.1,11.4,23.6,1.1,1.1,41.9,17.4
"GM14803A-3",0.99,1.49,27.75,3.76,96.63,206.45,172.85,40.72,1.87,2.88,1.03,2.46,19.58,7.68,1.18,2.38,2.44,2.52,5.13,1.08,4.26,12.68,6.1,21,0.3,0.7,39.6,11.7,8,20.8,0.5,0.6,39.4,14.3
"GM14803A-4",1.47,2.11,29.1,2.9,92.22,241.55,171.56,46.1,1.96,2.89,1.05,2.42,16.65,7.28,1.19,2.38,2.44,2.77,4.06,1.08,4.02,9.89,8.7,26.9,0.9,0.6,43.4,17.4,7.3,20.2,1,0.7,43.2,13.9
"GM14803A-5",3.74,2.03,28.82,3.84,94.49,235.01,115.28,38.6,1.28,3.15,1.03,2.07,20.81,10.44,1.14,2.41,2.41,2.16,5,0.98,4.36,12.32,6.5,14.4,0.7,0.6,43,10.7,7.1,17.9,1.1,1,42.4,12.6
"GM14803A-6",0.4,2.06,29,4.16,96.39,243.02,221.85,51.35,1.23,2.24,1.03,2.44,19.66,8.37,1.11,2.69,3,2.11,5.57,1.05,4.6,13.41,4.4,9,1.9,1.7,42.8,5,6.1,11.7,1.9,1.4,42.9,9
"GM14803A-7",2.49,1.99,30.91,3.93,99.62,259.92,139.94,52.68,1.11,1.93,1.04,2.24,24.52,10.1,1.12,2.13,2.46,2.39,5.19,1.07,4.44,12.36,4.4,12.9,0.2,0.4,39.9,7.5,6.4,15.9,0.5,0.5,40.2,11.2
"GM14803A-8",-0.34,1.19,26.99,2.54,91.19,244.36,250.47,38.56,1.77,3.46,1.03,2.09,17.05,6.81,1.16,2.3,2.96,2.82,3.47,2.66,3.95,8.54,7.7,22,0.4,0.4,39.9,14.8,5.8,16.5,0.6,0.6,40.1,11.3
"GM14803A-9",1.24,2.02,29.89,3.88,97.1,247.9,179.72,48.45,1.21,2.02,1.04,2.38,17.23,7.92,1.13,2.69,3.03,2.32,4.95,1.03,4.12,12.1,2,5.9,0.7,0.8,40.7,1.3,5.5,11.1,0.9,0.8,40.5,8.3
"GM14807B-10",-0.13,1.99,28.51,4.07,99.1,222.96,227.05,48.4,1.25,2.59,1.04,2.08,24.08,11.82,1.12,2.27,0.99,2.41,5.49,0.96,4.05,13.61,7.9,19.3,0.3,0.4,42.9,14.4,6.1,16.4,0.8,0.3,43.2,11.1
"GM14807B-5",3.18,2.05,27.36,5.1,91.99,214.27,73.63,38.03,1.26,3.53,1.18,2.4,24.67,9.79,1.08,2.14,1.05,2.38,6.86,1.04,4.14,16.94,3.4,10.9,1.3,0.9,40.4,6,4.8,12,1.3,0.9,41.7,8.4
"GM14811B-4",1.99,1.71,30.24,2.38,92.54,220.24,130.82,45.44,1.44,2.98,1.03,2.27,15.25,2.82,1.29,2.53,2.98,3.26,2.9,1.07,3.97,7.21,5.7,9.2,2.6,2.2,44.7,8.5,5.8,12.9,2.3,1.7,44.6,9.3
"GM14818A-7",2.4,2.68,30.67,2.75,98.33,212.29,122.52,40.94,1.58,2.39,1.35,2.27,20.45,6.23,1.65,2.88,3.06,3.32,3.78,1.09,4.23,9, , ,1.2,1,44.5, , , ,1.2,0.9,44.1, 
"GM14819A-10",4.78,2.12,27.81,1.27,82.18,192.67,80.14,30.5,1.08,3.63,1.01,2.1,13.21,3.89,1.2,2.85,3.03,3.84,1.87,1.42,3.89,4.53, , , , , , , , , , , , 
"GM14819A-2",3.23,2.02,29.84,5.08,97.38,208.17,59.88,49.47,1.29,3.29,1.03,2.53,21.12,11.28,1.15,2.28,3.02,2.43,6.35,1.02,4.29,15.54,4.7,14,1.6,1.5,42.7,9.1,5,14.2,1.4,1.2,42.4,9.6
"GM14819A-3",1.19,2.02,30.94,3.24,84.92,250.81,135.69,45.7,1.52,3.04,1.04,2.09,16.54,7.48,1.12,2.69,3,2.95,3.78,1.1,4.03,9.54,4.4,8.6,1.9,1,44.4,6.5,5,11.2,1.8,1.1,43.6,8.2
"GM14819A-4",0.52,2.04,29.01,1.93,70.52,201.14,139.5,38.4,1.15,2.86,1.03,1.71,12.24,3.76,1.14,2.78,1.02,3.61,2.36,1.08,4.02,5.85, , ,2.1,1.1,41.9, , , ,1.7,1,42, 
"GM14819A-5",2.42,2.01,31.31,4.12,95.52,244.1,93.44,57.15,1.58,2.72,1.02,2.08,26.87,11.63,1.26,2.42,3.03,2.8,5.62,1.11,4.41,13.34,8.3,17.7,1.4,1.1,42.3,13.3,8.3,17.5,1.3,1.1,42.4,13
"GM14825A-1",1.03,2.22,28.94,3.88,97.02,241.02,193.13,48.74,1.11,2.07,1.02,1.89,24.62,6.11,1.11,2.03,2.47,3.17,5.17,1.07,4.38,12.74,8.4,19.1,2.1,1.6,43.8,12.8,5.8,15,1.7,1.4,43.9,10.5
"GM14825A-2",3.21,2.02,30.8,4.01,97.42,257.81,56.05,51.06,1.81,3.02,1.03,2.43,24.2,7.03,1.35,2.77,3.01,2.78,4.49,1.05,4.38,11.23,9,27.4,1.4,1,42,17.7,9.2,24.2,1.4,0.9,42.3,16.7
