"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14550A-4",1.6,2.03,28.85,2.07,90.97,257.63,184.49,49.85,2.47,3.27,1.04,2.37,14.22,3.82,1.21,2.88,1.07,3.59,2.49,1.03,4.35,6.22,6.3,15.5,0.5,0.1,43.8,10.9,5.2,11.9,0.7,0.4,43.5,8.7
"GM14550A-6",1.44,2.12,30.13,4.26,96.58,253.88,222.2,57.66,1.26,1.92,1.04,2.4,19.67,10.42,1.13,2.82,3.06,2.35,5.64,1.03,4.31,13.62,5,23.9,0.9,0.9,39.2,15.4,6.2,22.8,0.9,0.7,39.4,14.6
"GM14550A-7",1.34,2.29,28.85,2.92,97.62,251.81,174.24,57.5,1.88,3.29,1.03,2.6,17.59,7.43,1.13,2.87,2.99,2.78,4.13,1,4.41,9.95,3.8,14.7,0.8,0,40.9,9.4,6.2,18.1,0.7,0.3,41,12.3
"GM14550A-8",1.46,2.08,28.56,3.42,96.71,242.22,154.4,51.57,1.77,2.1,1.05,2.49,20.37,8.36,1.09,2.89,2.43,2.92,4.5,1,4.26,10.92,3.3,11.5,1,0.5,42.7,6,6,14,1,0.4,42,10.2
"GM14550A-9",0.16,2.05,28.88,3.28,97.85,246.6,247.12,59.23,1.22,1.56,1.23,2.39,15.09,5.85,1.13,2.69,1.05,2.53,4.95,1.06,4.33,11.68,4.2,12.2,0.1,0.1,38.9,7.9,4.4,11.4,0.2,0.2,39,8
"GM14551B-2",1.21,2.12,25.33,3.67,97.1,269.24,242.14,55.15,1.23,2.47,1.04,2.41,21.59,8.64,1.13,2.3,2.17,2.85,5.11,1.08,4.27,12.43,7.6,15.5,0.1,0.2,41.3,12.5,7.8,18.7,0.2,0.2,41.9,13.2
"GM14551B-3",0.62,2.14,25.19,2.46,82.69,236.23,217.99,42.97,1.36,3.37,1.04,2.13,15.13,5.27,1.16,2.8,1.25,3.35,3.34,2.44,4.18,8.46,3.7,12.5,1.8,1.4,43.3,9.3,5.4,16.6,1.6,1.2,42.8,10.8
"GM14553B-1",0.61,2.13,24.42,3.77,96.04,230.56,192.43,54.89,2.4,2.95,1.04,2.39,21.16,8.1,1.12,2.79,2.16,2.37,5.58,1.46,4.27,13.47,6.5,9,0.7,1,39.1,7.9,7,10.2,0.7,0.8,39,8.7
"GM14553B-2",0.71,2.11,24.61,2.14,82.52,158.65,97.15,27.68,1.34,3.76,1.04,1.7,14.79,4.67,1.15,2.32,3.07,3.69,2.54,2.47,4,6.66, , , , , , , , , , , , 
"GM14553B-3",2.67,2.14,30.27,4.64,95.04,224.06,125.83,58.5,2.59,2.89,1.04,2.39,20.56,10.46,1.23,2.8,1.13,2.55,6.14,1.14,4.41,14.76,8.4,19.7,1.5,0.7,44.4,13.4,7.4,16.6,1.2,0.8,44.3,12
